keyword,type,theme,app_name,category,in_title,in_short,in_long,in_tags,reach,table_stakes
finance,unigram,Account & Finance,Amex,Insurance / Financial Services,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,BTCC - Trade Bitcoin & Crypto,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Bank of America Mobile Banking,Traditional Bank,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Base: formerly Coinbase Wallet,Other / Hybrid,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Binance: Buy Bitcoin & Crypto,Centralized Exchange (CEX),0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Bitcoin Wallet Crypto Ethereum,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Bitget - Buy & Sell Crypto,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Bitget Wallet: Crypto, Bitcoin",DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Blockchain Wallet: Buy BTC,Centralized Exchange (CEX),0,0,1,1,61,TRUE
finance,unigram,Account & Finance,BlueWallet Bitcoin Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Bridge Wallet: Bitcoin, crypto",Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Bybit: Buy Bitcoin & Crypto,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Chase Mobile,Traditional Bank,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Citi Mobile®,Traditional Bank,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Coin Wallet - Bitcoin & Crypto,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,CoinGecko: Crypto Tracker,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Coinbase: Buy Crypto & Stocks,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Coinomi: Crypto Bitcoin Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Crypto & Bitcoin Wallet Paybis,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Crypto Exchange: Buy BTC・USDT,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Crypto exchange: USDT, Bitcoin",Self-Custody Wallet,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Crypto.com Exchange,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Crypto.com: Buy BTC, ETH & CRO",Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Crypto.com: Onchain Wallet,Self-Custody Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Cwallet - Secure Crypto Wallet,DeFi / DEX Wallet,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Edge - Bitcoin & Crypto Wallet,Self-Custody Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Enjin: Crypto & NFT Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Exodus: Crypto Bitcoin Wallet,Other / Hybrid,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Fidelity Investments,Brokerage / Wealth Management,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Gemini Markets & Credit Card,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Guarda: Crypto Bitcoin Wallet,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Kraken Wallet: Crypto & NFT,Self-Custody Wallet,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Kraken: Buy Stocks & Crypto,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Ledger Wallet™ crypto app,DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,MEW crypto wallet: DeFi Web3,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,MEXC: Buy Bitcoin BTC & Crypto,Centralized Exchange (CEX),0,0,0,1,61,TRUE
finance,unigram,Account & Finance,MetaMask: Trade Crypto,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,MoonPay: Buy Crypto & Bitcoin,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,MyTonWallet • TON Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,NC Wallet: Crypto Without Fees,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Noone Crypto Wallet,DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,OKX: Buy Bitcoin BTC & Crypto,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,OneKey: Crypto DeFi Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Phantom,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Proton Wallet: Secure Bitcoin,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Rabby Wallet - Crypto & EVM,DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Robinhood Wallet: Swap Crypto,DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,SafePal: Crypto Wallet BTC NFT,Other / Hybrid,0,0,1,1,61,TRUE
finance,unigram,Account & Finance,Schwab Mobile,Brokerage / Wealth Management,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Solflare - Solana Wallet,DeFi / DEX Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Speed Wallet - Buy Bitcoin,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Trust: Crypto & Bitcoin Wallet,Self-Custody Wallet,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,USAA Mobile,Insurance / Financial Services,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Uniswap: Crypto & NFT Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,"Vanguard: Save, Invest, Retire",Brokerage / Wealth Management,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Wells Fargo Mobile®,Traditional Bank,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,YouHodler: BTC & Crypto Wallet,Centralized Exchange (CEX),0,0,1,1,61,TRUE
finance,unigram,Account & Finance,ZebPay: Bitcoin & Crypto App,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,Zengo: Crypto & Bitcoin Wallet,Other / Hybrid,0,0,0,1,61,TRUE
finance,unigram,Account & Finance,thinkorswim Mobile: Trading,Brokerage / Wealth Management,0,0,0,1,61,TRUE
crypto,unigram,Asset Coverage,BTCC - Trade Bitcoin & Crypto,Centralized Exchange (CEX),1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,Base: formerly Coinbase Wallet,Other / Hybrid,0,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Binance: Buy Bitcoin & Crypto,Centralized Exchange (CEX),1,0,1,0,51,TRUE
crypto,unigram,Asset Coverage,Bitcoin Wallet Crypto Ethereum,Other / Hybrid,1,1,1,0,51,TRUE
crypto,unigram,Asset Coverage,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,0,1,1,0,51,TRUE
